Thailand;Polymers of ethylene (in primary forms)
Turkey;Edible products and preparations of food
Turkey;Polymers of ethylene (in primary forms)
Turkey;Polymers of styrene (in primary forms)
Turkey;Meat of bovine animals (fresh, chilled or frozen)
Turkey;Dairy products and birds' eggs
Turkey;Vegetables and fruit
Turkey;Articles of paper and paperboard (including diapers)
Turkey;Meat of bovine animals (fresh, chilled or frozen)
Turkey;Dairy products and birds' eggs
Turkey;Vegetables and fruit
Turkey;Articles of paper and paperboard (including diapers)
Taiwan;Edible products and preparations of food
Taiwan;Polymers of styrene (in primary forms)
Taiwan;Polymers of ethylene (in primary forms)
Taiwan;Articles of paper and paperboard (including diapers)
Taiwan;Meat of bovine animals (fresh, chilled or frozen)
Taiwan;Dairy products and birds' eggs
Taiwan;Vegetables and fruit
Taiwan;Articles of paper and paperboard (including diapers)
Taiwan;Meat of bovine animals (fresh, chilled or frozen)
Taiwan;Dairy products and birds' eggs
Taiwan;Vegetables and fruit
Taiwan;Articles of paper and paperboard (including diapers)
Malaysia;Edible products and preparations of food
Malaysia;Polymers of ethylene (in primary forms)
Malaysia;Polymers of styrene (in primary forms)
Malaysia;Articles of paper and paperboard (including diapers)
Malaysia;Meat of bovine animals (fresh, chilled or frozen)
Malaysia;Dairy products and birds' eggs
Malaysia;Vegetables and fruit
Malaysia;Articles of paper and paperboard (including diapers)
Malaysia;Meat of bovine animals (fresh, chilled or frozen)
Malaysia;Dairy products and birds' eggs
Malaysia;Vegetables and fruit
Malaysia;Articles of paper and paperboard (including diapers)
Malaysia;Edible products and preparations of food
Malaysia;Articles of paper and paperboard (including diapers)
Philippines;Edible products and preparations of food
Philippines;Polymers of ethylene (in primary forms)
Philippines;Polymers of styrene (in primary forms)
Philippines;Articles of paper and paperboard (including diapers)
Philippines;Meat of bovine animals (fresh, chilled or frozen)
Philippines;Dairy products and birds' eggs
Philippines;Vegetables and fruit
Philippines;Articles of paper and paperboard (including diapers)
Philippines;Meat of bovine animals (fresh, chilled or frozen)
Philippines;Dairy products and birds' eggs
Philippines;Vegetables and fruit
Philippines;Articles of paper and paperboard (including diapers)
Philippines;Edible products and preparations of food
Philippines;Articles of paper and paperboard (including diapers)
Thailand;Edible products and preparations of food
Thailand;Polymers of ethylene (in primary forms)
Thailand;Polymers of styrene (in primary forms)
Thailand;Articles of paper and paperboard (including diapers)
Thailand;Meat of bovine animals (fresh, chilled or frozen)
Thailand;Dairy products and birds' eggs
Thailand;Vegetables and fruit
Thailand;Articles of paper and paperboard (including diapers)
Thailand;Meat of bovine animals (fresh, chilled or frozen)
Thailand;Dairy products and birds' eggs
Thailand;Vegetables and fruit
Thailand;Articles of paper and paperboard (including diapers)
Thailand;Edible products and preparations of food
Thailand;Articles of paper and paperboard (including diapers)
Argentina;Edible products and preparations of food
Argentina;Polymers of ethylene (in primary forms)
Argentina;Polymers of styrene (in primary forms)
Argentina;Articles of paper and paperboard (including diapers)
Argentina;Meat of bovine animals (fresh, chilled or frozen)
Argentina;Dairy products and birds' eggs
Argentina;Vegetables and fruit
Argentina;Articles of paper and paperboard (including diapers)
Argentina;Meat of bovine animals (fresh, chilled or frozen)
Argentina;Dairy products and birds' eggs
Argentina;Vegetables and fruit
Argentina;Articles of paper and paperboard (including diapers)
Argentina;Edible products and preparations of food
Argentina;Articles of paper and paperboard (including diapers)
Saudi Arabia;Edible products and preparations of food
Saudi Arabia;Polymers of ethylene (in primary forms)
Saudi Arabia;Polymers of styrene (in primary forms)
Saudi Arabia;Articles of paper and paperboard (including diapers)
Saudi Arabia;Meat of bovine animals (fresh, chilled or frozen)
Saudi Arabia;Dairy products and birds' eggs
Saudi Arabia;Vegetables and fruit
Saudi Arabia;Articles of paper and paperboard (including diapers)
Saudi Arabia;Meat of bovine animals (fresh, chilled or frozen)
Saudi Arabia;Dairy products and birds' eggs
Saudi Arabia;Vegetables and fruit
Saudi Arabia;Articles of paper and paperboard (including diapers)